time,lon,lat,pressure,ASL_Sector_Pres
1998-09-01,214.75,-68.25,977.6180419921875,982.6868286132812
1998-10-01,253.25,-65.5,969.3653564453125,977.4017333984375
1998-11-01,217.5,-68.75,971.1494750976562,977.019775390625
1998-12-01,253.75,-67.0,977.0321655273438,982.3916015625
1999-01-01,253.75,-66.5,979.9698486328125,983.8605346679688
1999-02-01,274.25,-66.75,974.625244140625,983.8184204101562
1999-03-01,239.5,-68.0,977.913818359375,984.0258178710938
1999-04-01,277.0,-67.5,977.0107421875,982.0794677734375
1999-05-01,242.25,-68.25,972.68212890625,977.987060546875
1999-06-01,194.75,-61.25,986.2001342773438,991.1616821289062
1999-07-01,195.75,-72.25,979.286865234375,983.8703002929688
1999-08-01,209.25,-70.25,977.720703125,985.8272094726562
1999-09-01,206.25,-70.0,977.8939819335938,984.779541015625
1999-10-01,223.0,-69.25,966.5150756835938,972.6712646484375
1999-11-01,253.0,-68.25,968.2101440429688,974.5585327148438
1999-12-01,273.75,-68.0,975.5678100585938,980.9820556640625
2000-01-01,277.75,-67.25,975.804931640625,983.482177734375
2000-02-01,199.0,-69.5,979.7026977539062,984.5681762695312
2000-03-01,208.5,-68.5,979.147216796875,985.3229370117188
2000-04-01,198.0,-70.5,975.5521240234375,980.27783203125
2000-05-01,240.0,-66.0,977.5198974609375,983.5067749023438
2000-06-01,245.25,-68.0,984.9190063476562,988.5806274414062
2000-07-01,204.25,-71.25,979.7373657226562,986.0389404296875
2000-08-01,206.5,-70.25,977.100830078125,984.9037475585938
2000-09-01,206.0,-71.0,986.0794677734375,994.5894775390625
2000-10-01,205.0,-71.0,976.0625610351562,981.4526977539062
2000-11-01,193.0,-70.5,976.5255737304688,985.138916015625
2000-12-01,,,,
2001-01-01,173.0,-61.5,989.0579223632812,991.5594482421875
2001-02-01,265.0,-63.5,983.3521118164062,987.522216796875
2001-03-01,280.0,-65.25,982.3950805664062,986.673828125
2001-04-01,208.75,-70.0,977.41845703125,982.7808227539062
2001-05-01,249.75,-67.75,979.125,984.4889526367188
2001-06-01,200.5,-71.0,977.6112060546875,985.3015747070312
2001-07-01,201.25,-68.25,980.6614990234375,991.3186645507812
2001-08-01,276.25,-68.0,970.9187622070312,985.1516723632812
2001-09-01,237.5,-68.0,969.679443359375,979.0232543945312
2001-10-01,252.25,-68.75,968.0474243164062,974.311767578125
2001-11-01,275.5,-66.75,970.3189697265625,977.2578735351562
2001-12-01,272.5,-67.0,972.6866455078125,980.8255615234375
2002-01-01,250.75,-67.0,980.8028564453125,985.337890625
2002-02-01,251.75,-68.75,973.7948608398438,981.7099609375
2002-03-01,183.75,-63.5,985.470703125,993.2116088867188
2002-04-01,208.75,-69.75,973.9180297851562,979.5480346679688
2002-05-01,187.25,-63.75,981.7009887695312,996.837646484375
2002-06-01,181.25,-63.5,985.6513671875,996.37939453125
2002-07-01,251.25,-68.25,983.725341796875,989.4037475585938
2002-08-01,194.75,-71.75,980.567626953125,990.2156372070312
2002-09-01,210.5,-67.75,978.7070922851562,985.8291015625
2002-10-01,283.25,-64.5,988.8160400390625,992.5958862304688
2002-11-01,176.5,-69.5,986.7178344726562,990.675537109375
2002-12-01,253.25,-67.5,977.6071166992188,982.0757446289062
2003-01-01,211.0,-64.75,989.8124389648438,990.8301391601562
2003-02-01,271.5,-65.25,977.6261596679688,985.4470825195312
2003-03-01,206.5,-70.25,985.6974487304688,989.7705078125
2003-04-01,210.75,-69.25,973.132080078125,982.0648193359375
2003-05-01,201.0,-70.25,968.9200439453125,979.6931762695312
2003-06-01,192.0,-67.25,986.1070556640625,990.9152221679688
2003-07-01,269.25,-66.25,972.1337890625,977.3302612304688
2003-08-01,252.0,-68.75,975.9276123046875,984.1793212890625
2003-09-01,194.75,-71.5,979.2367553710938,984.2174682617188
2003-10-01,196.75,-72.5,975.12060546875,981.588623046875
2003-11-01,187.5,-70.25,977.9566650390625,984.642333984375
2003-12-01,188.0,-64.0,990.0791015625,992.7841186523438
2004-01-01,262.5,-63.0,979.6834716796875,986.9694213867188
2004-02-01,242.25,-62.0,986.535400390625,991.746337890625
2004-03-01,277.25,-65.5,981.5094604492188,986.0807495117188
2004-04-01,230.0,-68.25,977.6047973632812,983.661376953125
2004-05-01,240.5,-67.5,977.5966186523438,983.9166870117188
2004-06-01,200.75,-71.5,976.4469604492188,981.6139526367188
2004-07-01,196.5,-72.5,979.9411010742188,986.473388671875
2004-08-01,252.25,-69.75,983.2377319335938,988.8379516601562
2004-09-01,278.25,-67.75,978.3449096679688,984.2908935546875
2004-10-01,209.0,-69.25,972.6981201171875,979.2265014648438
2004-11-01,205.5,-71.5,977.64306640625,982.4102783203125
2004-12-01,254.25,-64.5,985.7250366210938,990.8006591796875
2005-01-01,204.0,-66.75,983.58984375,987.6047973632812
2005-02-01,252.75,-68.0,975.0374755859375,981.5637817382812
2005-03-01,253.5,-67.75,980.031982421875,984.0905151367188
2005-04-01,179.25,-66.0,980.8294677734375,984.1133422851562
2005-05-01,197.0,-71.25,982.6778564453125,988.784423828125
2005-06-01,191.75,-71.0,988.203125,997.7684936523438
2005-07-01,199.5,-71.25,978.3518676757812,987.5653686523438
2005-08-01,196.5,-72.25,977.0892944335938,986.4517822265625
2005-09-01,228.25,-68.0,969.6649780273438,981.4924926757812
2005-10-01,238.75,-68.5,969.390625,977.7155151367188
2005-11-01,211.25,-70.0,979.9826049804688,986.0032958984375
2005-12-01,224.0,-65.0,986.492919921875,992.8118286132812
2006-01-01,239.75,-65.0,983.2969970703125,986.3494873046875
2006-02-01,246.75,-67.75,984.4475708007812,988.3903198242188
2006-03-01,275.5,-66.25,972.7080688476562,981.6935424804688
2006-04-01,251.5,-67.0,976.3883056640625,987.1515502929688
2006-05-01,253.0,-68.75,975.8914794921875,983.2025146484375
2006-06-01,200.75,-70.25,977.8792724609375,986.432861328125
2006-07-01,206.0,-70.75,976.0443725585938,986.4203491210938
2006-08-01,228.75,-66.75,980.633544921875,988.2764282226562
2006-09-01,190.75,-70.5,979.8189086914062,987.2108764648438
2006-10-01,252.75,-67.25,973.5751342773438,977.169921875
2006-11-01,192.75,-68.25,975.4111938476562,979.8640747070312
2006-12-01,274.5,-64.25,977.5966796875,987.7777709960938
