lat,lon,pressure,ASL_Sector_Pres,time
-72.75,194.25,978.6065673828125,984.4280395507812,2008-01-01
-70.5,262.5,977.7906494140625,983.9838256835938,2008-02-01
-65.25,246.0,975.6619262695312,983.4219360351562,2008-03-01
-70.5,216.0,977.165283203125,983.9065551757812,2008-04-01
-73.5,220.5,978.6065673828125,987.122802734375,2008-05-01
-71.25,212.25,972.7511596679688,979.0364379882812,2008-06-01
-74.25,211.5,974.058349609375,985.9088134765625,2008-07-01
-75.75,216.0,980.4275512695312,991.37744140625,2008-08-01
-71.25,244.5,958.1381225585938,974.83544921875,2008-09-01
-69.75,228.75,964.7572021484375,972.9391479492188,2008-10-01
-66.75,269.25,972.2486572265625,976.9330444335938,2008-11-01
-72.0,284.25,974.3406982421875,983.7984008789062,2008-12-01
-66.75,273.75,976.933837890625,984.5314331054688,2009-01-01
-66.75,238.5,979.638427734375,983.4227905273438,2009-02-01
-67.5,255.0,972.4773559570312,981.0574340820312,2009-03-01
-72.75,200.25,979.0003662109375,984.8322143554688,2009-04-01
-66.75,264.0,973.55859375,986.5540771484375,2009-05-01
-68.25,204.75,983.9537353515625,987.7484741210938,2009-06-01
-63.75,203.25,983.0828247070312,990.8580932617188,2009-07-01
-69.75,247.5,982.00146484375,989.4833984375,2009-08-01
-72.75,225.0,974.5284423828125,982.387939453125,2009-09-01
-69.0,277.5,970.1185302734375,979.6575317382812,2009-10-01
-72.75,198.0,977.962890625,989.4974365234375,2009-11-01
-69.0,273.75,980.972412109375,985.3233032226562,2009-12-01
-60.75,282.0,983.77734375,992.3303833007812,2010-01-01
-65.25,214.5,982.1328125,988.7398681640625,2010-02-01
-69.75,211.5,974.7528686523438,981.9337158203125,2010-03-01
-69.0,219.75,971.2266235351562,978.206787109375,2010-04-01
-68.25,248.25,969.4706420898438,979.3746948242188,2010-05-01
-71.25,264.0,967.0030517578125,977.5543823242188,2010-06-01
-73.5,213.75,964.2885131835938,977.5236206054688,2010-07-01
-72.75,230.25,966.3114013671875,979.6006469726562,2010-08-01
-69.75,251.25,970.5179443359375,978.2028198242188,2010-09-01
-69.75,251.25,961.2013549804688,973.78466796875,2010-10-01
-70.5,252.75,966.48779296875,976.447021484375,2010-11-01
-63.0,283.5,975.9978637695312,985.1250610351562,2010-12-01
-63.0,214.5,986.3365478515625,990.3604125976562,2011-01-01
-65.25,261.0,973.0532836914062,981.5857543945312,2011-02-01
-62.25,275.25,980.690185546875,984.6446533203125,2011-03-01
-68.25,245.25,968.6956176757812,976.7470703125,2011-05-01
-69.75,219.75,980.8341674804688,986.447265625,2011-06-01
-69.75,195.0,975.237060546875,987.647705078125,2011-07-01
-69.0,228.75,974.4804077148438,986.3099365234375,2011-08-01
-66.75,192.0,982.5040893554688,989.0564575195312,2011-09-01
-68.25,218.25,968.243896484375,976.8223266601562,2011-10-01
-69.0,224.25,974.93212890625,982.3746948242188,2011-11-01
-66.0,237.0,972.1568603515625,979.3779296875,2011-12-01
-75.75,204.0,978.0010375976562,983.9808349609375,2012-01-01
